Numero de accidentes por año:  5783
Total de fallecidos:  115122
fallecidos por año:
|      |   sum |   count |     mean |   max |   min |
| Antonov 12BP                             |    40 |       7 |   5.71429  |     9 |     1 |
| Antonov 12MGA                            |     7 |       1 |   7        |     7 |     7 |
| Antonov 12V                              |     7 |       2 |   3.5      |     5 |     2 |
| Antonov 24                               |    28 |       1 |  28        |    28 |    28 |
| Antonov 24B                              |     7 |       1 |   7        |     7 |     7 |
| Antonov 26                               |    11 |       1 |  11        |    11 |    11 |
| Antonov 26B                              |    20 |       2 |  10        |    11 |     9 |
| Antonov 26B-100                          |    34 |       1 |  34        |    34 |    34 |
| Antonov 28                               |    10 |       2 |   5        |     6 |     4 |
| Antonov 2PF                              |     3 |       1 |   3        |     3 |     3 |
| Antonov 2R                               |    12 |       1 |  12        |    12 |    12 |
| Antonov 2TP                              |     3 |       1 |   3        |     3 |     3 |
| Antonov 32                               |    80 |       3 |  26.6667   |    50 |     1 |
| Antonov 32B                              |     7 |       2 |   3.5      |     5 |     2 |
| Antonov 74T-200                          |    38 |       1 |  38        |    38 |    38 |
| Antonov 74TK-200                         |     6 |       1 |   6        |     6 |     6 |
| Antonov 74TK-300                         |    16 |       1 |  16        |    16 |    16 |
| Antonov AN-10                            |    90 |       4 |  22.5      |    40 |     7 |
| Antonov AN-10A                           |   216 |       3 |  72        |   122 |    13 |
| Antonov AN-12                            |   455 |      18 |  25.2778   |    83 |     4 |
| Antonov AN-12 (freighter)                |     6 |       1 |   6        |     6 |     6 |
| Antonov AN-124                           |    17 |       1 |  17        |    17 |    17 |
| Antonov AN-124-100                       |    23 |       1 |  23        |    23 |    23 |
| Antonov AN-12A                           |    23 |       1 |  23        |    23 |    23 |
| Antonov AN-12B                           |    35 |       3 |  11.6667   |    16 |     5 |
| Antonov AN-12BP                          |   228 |       7 |  32.5714   |    98 |     8 |
| Antonov AN-12V                           |   117 |       5 |  23.4      |    45 |    10 |
| Antonov AN-140                           |    44 |       1 |  44        |    44 |    44 |
| Antonov AN-140-100                       |    23 |       1 |  23        |    23 |    23 |
| Antonov AN-148-100                       |    71 |       1 |  71        |    71 |    71 |
| Antonov AN-2                             |    72 |       6 |  12        |    17 |     7 |
| Antonov AN-22                            |    79 |       3 |  26.3333   |    39 |    17 |
| Antonov AN-22A                           |    33 |       1 |  33        |    33 |    33 |
| Antonov AN-24                            |   664 |      19 |  34.9474   |    57 |     6 |
| Antonov AN-24 / Yakovlev Yak-40          |    64 |       1 |  64        |    64 |    64 |
| Antonov AN-24B                           |   349 |      13 |  26.8462   |    60 |     1 |
| Antonov AN-24N                           |    13 |       1 |  13        |    13 |    13 |
| Antonov AN-24RV                          |   276 |       9 |  30.6667   |    55 |     3 |
| Antonov AN-24RV / Soviet Air Force TU-16 |    31 |       1 |  31        |    31 |    31 |
| Antonov AN-24V                           |   353 |       9 |  39.2222   |    56 |    21 |
